,10p,10q,11p,11q,12p,12q,13q,14q,15q,16p,16q,17p,17q,18p,18q,19p,19q,1p,1q,20p,20q,21p,21q,22p,22q,2p,2q,3p,3q,4p,4q,5p,5q,6p,6q,7p,7q,8p,8q,9p,9q
TCGA-06-6700,-0.9926470588235294,-1.0,0.0034904013961605585,0.02071563088512241,-0.7081081081081081,0.1349124613800206,-0.001652892561983471,-0.014412416851441241,0.020127118644067795,-0.9487603305785124,-0.9755102040816327,0.19413092550790068,0.9039704524469068,0.0,-0.010101010101010102,0.0,0.0057859209257473485,0.00697350069735007,0.008695652173913044,-0.003875968992248062,0.0,1.0,0.0,0.0,0.0065040650406504065,-0.0014925373134328358,-0.0028011204481792717,0.0,0.0024479804161566705,0.0,-0.025174825174825177,-0.012396694214876033,-0.010912698412698412,0.018820577164366373,0.004975124378109453,0.1360544217687075,0.997624703087886,0.005420054200542005,0.0032948929159802307,-0.10891089108910891,-0.0025575447570332483
TCGA-06-6701,0.0,-0.007462686567164179,-0.21291448516579406,0.013182674199623353,0.010810810810810811,-0.035015447991761074,-0.6165289256198347,-0.007760532150776054,-0.014830508474576272,-0.026446280991735537,-0.11632653061224489,-0.024830699774266364,-0.008310249307479225,0.0,0.02356902356902357,-0.02664796633941094,-0.01832208293153327,-0.07531380753138076,0.008695652173913044,0.003875968992248062,-0.02385685884691849,-1.0,0.0030581039755351682,0.0,-0.024390243902439025,0.016417910447761194,0.013071895424836602,0.011782032400589101,0.0073439412484700125,0.0,0.011188811188811189,0.012396694214876033,0.000992063492063492,-0.002509410288582183,0.03150912106135987,0.009070294784580499,0.00831353919239905,0.07046070460704607,0.7331136738056013,-0.2871287128712871,-0.15217391304347827
TCGA-06-A5U0,-0.25735294117647056,-0.8482587064676617,-0.2286212914485166,-0.003766478342749529,-0.024324324324324326,-0.01956745623069001,0.0,-0.004434589800443459,0.029661016949152543,0.0,-0.11632653061224489,-0.7178329571106095,-0.628808864265928,-1.0,-1.0,0.0,-0.9980713596914176,0.003486750348675035,0.9936758893280633,-0.08914728682170543,-0.4691848906560636,-0.20930232558139536,-0.2324159021406728,0.0,-0.5495934959349593,-0.005970149253731343,-0.035480859010270774,-0.010309278350515464,-0.009791921664626682,0.01929260450160772,-0.9258741258741259,-0.2066115702479339,-0.6994047619047619,0.9924717691342535,1.0,-0.011337868480725623,-0.12826603325415678,-0.1002710027100271,-0.23228995057660626,-0.5544554455445545,-0.016624040920716114
TCGA-06-A5U1,-1.0,-0.9900497512437811,-0.008726003490401396,-0.025423728813559324,0.0,-0.0020597322348094747,0.0,-0.9933481152993349,-0.9597457627118644,0.019834710743801654,0.0020408163265306124,-0.009029345372460496,0.631578947368421,-0.02654867256637168,-0.19865319865319866,0.0,-0.06846673095467695,-0.16457461645746166,-0.015810276679841896,0.9922480620155039,1.0,-1.0,-0.0030581039755351682,-1.0,-1.0,0.0,-0.0056022408963585435,0.016200294550810016,-0.4283965728274174,-0.01607717041800643,-0.008391608391608392,0.0,0.00496031746031746,-0.012547051442910916,-0.9817578772802653,1.0,0.9904988123515439,-0.9566395663956639,-0.006589785831960461,-0.48184818481848185,-0.1534526854219949
TCGA-06-A6S0,-0.41911764705882354,-1.0,-0.02268760907504363,-0.007532956685499058,-0.024324324324324326,-0.06591143151390319,0.008264462809917356,-0.02771618625277162,-1.0,-1.0,-1.0,-0.14221218961625282,-0.31671283471837486,-0.035398230088495575,-0.016835016835016835,1.0,0.9180327868852459,-0.06276150627615062,-0.11541501976284585,-0.003875968992248062,-0.16302186878727634,-1.0,-0.19877675840978593,0.0,-0.17560975609756097,-0.9805970149253731,-0.9971988795518207,0.008836524300441826,-0.004895960832313341,-0.8585209003215434,0.002797202797202797,-0.15289256198347106,-0.027777777777777776,-0.027603513174404015,-0.013266998341625208,0.37188208616780044,1.0,-0.0948509485094851,-0.19934102141680396,-0.1419141914191419,0.0025575447570332483
TCGA-06-A6S1,-1.0,-1.0,0.0,0.0,-0.005405405405405406,-0.003089598352214212,-0.19008264462809918,-0.9977827050997783,0.045550847457627115,-0.44297520661157025,-1.0,0.0,0.0046168051708217915,0.0,-0.006734006734006734,-0.001402524544179523,-1.0,0.00697350069735007,-0.0031620553359683794,-0.007751937984496124,0.0,0.0,0.0,-1.0,-1.0,0.0,-0.0018674136321195146,0.0,0.0012239902080783353,-0.10932475884244373,0.0013986013986013986,0.004132231404958678,-0.010912698412698412,-0.20326223337515684,-1.0,1.0,0.997624703087886,-0.013550135501355014,-0.0016474464579901153,-0.9867986798679867,-0.9923273657289002
TCGA-06-A7TK,-1.0,-1.0,-1.0,-1.0,0.327027027027027,-0.16374871266735325,-1.0,0.02106430155210643,-0.9735169491525424,0.0049586776859504135,0.0020408163265306124,0.01580135440180587,0.013850415512465374,-0.02654867256637168,0.006734006734006734,0.0546984572230014,0.0,-0.00906555090655509,-0.020553359683794466,1.0,0.9960238568588469,-1.0,-0.0030581039755351682,0.0,0.0016260162601626016,0.0029850746268656717,-0.0056022408963585435,-0.020618556701030927,-0.009791921664626682,-0.006430868167202572,-0.002797202797202797,-0.02066115702479339,0.005952380952380952,0.0037641154328732747,0.0,1.0,1.0,-0.02981029810298103,-0.0016474464579901153,-0.0891089108910891,-0.0319693094629156
TCGA-06-A7TL,0.8125,-0.8134328358208955,-0.9965095986038395,0.09227871939736347,1.0,-0.9876416065911432,0.0,-0.9634146341463414,-0.8580508474576272,-0.23636363636363636,-0.15918367346938775,-0.0744920993227991,-0.030470914127423823,-0.008849557522123894,-0.013468013468013467,-0.06030855539971949,-0.11668273866923819,-0.07740585774058577,-0.01818181818181818,0.003875968992248062,-0.073558648111332,-1.0,-0.981651376146789,-1.0,-0.26178861788617885,-0.020895522388059702,-0.0457516339869281,-0.09425625920471281,0.011015911872705019,0.022508038585209004,-0.002797202797202797,-0.16942148760330578,-0.5873015873015873,-0.10163111668757842,-0.013266998341625208,-0.061224489795918366,-0.004750593824228029,-0.11924119241192412,-0.08401976935749589,-0.24422442244224424,-0.024296675191815855
TCGA-08-0386,-1.0,-0.9888059701492538,0.0,0.011299435028248588,-0.9945945945945946,-1.0,0.0743801652892562,0.3203991130820399,-0.9692796610169492,0.23471074380165288,-0.004081632653061225,-0.9954853273137697,-0.9778393351800554,-1.0,-1.0,0.9186535764375876,-0.6374156219864995,0.8451882845188284,0.9841897233201581,0.21705426356589147,0.0,1.0,1.0,-1.0,-1.0,0.0014925373134328358,0.0018674136321195146,-0.9970544918998527,-1.0,-0.9903536977491961,-0.9916083916083916,-0.9917355371900827,-0.9940476190476191,0.9974905897114178,1.0,0.9024943310657596,1.0,-1.0,-0.8616144975288303,0.5643564356435643,0.9961636828644501
TCGA-12-0615,-1.0,-0.9975124378109452,0.0034904013961605585,-0.005649717514124294,-0.5918918918918918,-0.46343975283213185,-1.0,-0.4656319290465632,-0.026483050847457626,0.0,-0.04285714285714286,0.045146726862302484,-0.11265004616805172,-0.008849557522123894,-0.003367003367003367,-0.002805049088359046,0.0,-0.3075313807531381,0.5011857707509881,-0.031007751937984496,-0.0775347912524851,-1.0,-0.021406727828746176,0.0,-0.011382113821138212,0.03283582089552239,-0.32212885154061627,1.0,1.0,-0.006430868167202572,0.0013986013986013986,-0.09917355371900827,-0.001984126984126984,-0.11794228356336262,-0.9933665008291874,-0.08616780045351474,0.28741092636579574,-0.02710027100271003,-0.0032948929159802307,-0.966996699669967,-0.03836317135549872
TCGA-12-0616,-1.0,-1.0,-0.9406631762652705,-0.9708097928436912,0.07567567567567568,-0.25025746652935116,0.10413223140495868,-0.9822616407982262,-0.018008474576271187,0.0,0.0,-0.01580135440180587,0.0018467220683287165,0.0,0.0,0.0,-0.0019286403085824494,0.021617852161785217,0.1075098814229249,0.003875968992248062,0.0,-1.0,0.0061162079510703364,0.0,-0.0065040650406504065,-0.0880597014925373,0.0018674136321195146,0.0,-0.004895960832313341,0.9196141479099679,0.8755244755244755,-0.024793388429752067,-0.044642857142857144,-0.33751568381430364,-0.6915422885572139,0.562358276643991,0.5225653206650831,0.8428184281842819,0.9538714991762768,0.0165016501650165,0.0038363171355498722
TCGA-12-0618,-1.0,-1.0,-0.008726003490401396,0.011299435028248588,-0.03783783783783784,0.030895983522142123,0.07603305785123966,0.0066518847006651885,-1.0,-0.0049586776859504135,-0.9530612244897959,-0.011286681715575621,-0.0009233610341643582,-0.008849557522123894,0.016835016835016835,0.014025245441795231,-0.01446480231436837,-0.07391910739191074,-0.06561264822134387,-0.003875968992248062,0.0,1.0,0.0030581039755351682,1.0,0.46016260162601624,0.010447761194029851,0.0009337068160597573,0.0029455081001472753,0.05507955936352509,0.02572347266881029,0.0013986013986013986,0.02066115702479339,0.000992063492063492,0.02258469259723965,0.01824212271973466,1.0,1.0,-0.005420054200542005,0.0032948929159802307,0.0891089108910891,0.9475703324808185
TCGA-12-0619,-1.0,-1.0,-0.9092495636998255,-0.9943502824858758,-1.0,-1.0,-0.14049586776859505,0.8314855875831486,-0.9978813559322034,-1.0,-1.0,-0.9683972911963883,0.15420129270544783,0.0,0.003367003367003367,-0.97054698457223,-0.9421407907425265,1.0,0.9826086956521739,0.003875968992248062,0.0,1.0,1.0,-1.0,-1.0,-0.007462686567164179,0.022408963585434174,0.3549337260677467,0.8665850673194615,-1.0,-0.9804195804195804,0.008264462809917356,-0.037698412698412696,0.9924717691342535,0.8706467661691543,1.0,1.0,-0.4959349593495935,-0.9868204283360791,0.1353135313531353,0.26854219948849106
TCGA-12-0688,-1.0,-1.0,0.015706806282722512,-0.004708097928436911,0.0,-0.05149330587023687,0.026446280991735537,0.02106430155210643,0.001059322033898305,0.0512396694214876,-0.0163265306122449,0.011286681715575621,0.01662049861495845,0.0,-0.006734006734006734,0.9747545582047685,0.9942140790742526,-0.11157601115760112,0.011067193675889328,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.016200294550810016,0.0073439412484700125,0.0,0.004195804195804196,0.0,-0.010912698412698412,-0.025094102885821833,0.01824212271973466,0.8503401360544217,0.8895486935866983,0.005420054200542005,0.009884678747940691,-0.1848184818481848,-0.0025575447570332483
TCGA-12-0692,-0.9926470588235294,-1.0,-0.008726003490401396,0.003766478342749529,-0.002702702702702703,-0.07929969104016478,-0.11735537190082644,-0.8059866962305987,-0.028601694915254237,0.6991735537190082,-0.8653061224489796,0.009029345372460496,-0.00554016620498615,0.0,0.0,0.009817671809256662,-0.0028929604628736743,0.005578800557880056,0.09249011857707509,1.0,1.0,0.0,0.0,1.0,0.6699186991869919,0.0,0.0028011204481792717,0.0,0.0073439412484700125,0.003215434083601286,-0.006993006993006993,0.008264462809917356,-0.008928571428571428,-0.9924717691342535,-1.0,1.0,1.0,0.04607046070460705,0.042833607907743,-0.026402640264026403,0.0
TCGA-12-0821,-1.0,-1.0,0.006980802792321117,-0.004708097928436911,-0.010810810810810811,0.003089598352214212,0.04462809917355372,-1.0,-0.3209745762711864,0.5933884297520661,0.563265306122449,0.801354401805869,0.7266851338873499,0.0,-0.013468013468013467,0.004207573632538569,-0.0009643201542912247,0.5613668061366807,0.15889328063241107,-0.003875968992248062,0.0,0.3488372093023256,0.43119266055045874,-1.0,-0.9934959349593496,-0.0014925373134328358,0.014005602240896359,0.09867452135493372,0.056303549571603426,0.5755627009646302,0.005594405594405594,0.008264462809917356,-0.22321428571428573,0.010037641154328732,0.1111111111111111,1.0,1.0,-0.08672086720867209,-0.4497528830313015,-0.9867986798679867,-1.0
TCGA-12-3649,-1.0,-1.0,-0.17277486910994763,-0.2391713747645951,-0.13243243243243244,0.0,0.009917355371900827,-0.03547671840354767,-0.0031779661016949155,-0.4115702479338843,-0.5081632653061224,0.0,0.009233610341643583,-0.008849557522123894,0.02356902356902357,0.5680224403927069,1.0,-0.5794979079497908,-0.3011857707509881,0.9457364341085271,1.0,0.0,0.0,0.0,-0.12845528455284552,-0.0029850746268656717,-0.035480859010270774,-0.017673048600883652,0.0073439412484700125,0.01607717041800643,-0.012587412587412588,0.01652892561983471,0.008928571428571428,-0.24466750313676286,0.0,0.47392290249433106,1.0,0.018970189701897018,-0.0642504118616145,-0.6138613861386139,-0.17135549872122763
TCGA-12-3650,-1.0,-0.9912935323383084,-0.0034904013961605585,-0.006591337099811676,-0.03783783783783784,-0.09577754891864057,0.008264462809917356,-0.0022172949002217295,-0.00423728813559322,-0.41818181818181815,-0.09591836734693877,-0.006772009029345372,-0.007386888273314866,0.0,0.003367003367003367,1.0,0.996142719382835,-0.07601115760111576,-0.0015810276679841897,0.003875968992248062,0.019880715705765408,0.9767441860465116,-0.18960244648318042,0.0,-0.030894308943089432,-0.008955223880597015,0.047619047619047616,0.030927835051546393,0.008567931456548347,0.03536977491961415,0.002797202797202797,-0.16115702479338842,-0.05555555555555555,-0.026348808030112924,0.001658374792703151,1.0,1.0,0.005420054200542005,0.0032948929159802307,-0.10231023102310231,0.0038363171355498722
TCGA-12-3652,-1.0,-1.0,-0.3228621291448517,-0.3502824858757062,0.0,-0.4727085478887745,-0.5933884297520661,-0.1951219512195122,-0.1663135593220339,-0.4,-0.35306122448979593,-0.7629796839729119,-0.9178208679593721,-0.9823008849557522,-0.2727272727272727,1.0,1.0,-0.4776847977684798,-0.14782608695652175,1.0,1.0,-1.0,-0.3211009174311927,0.0,-0.36910569105691055,-0.07313432835820896,-0.0018674136321195146,-0.26362297496318116,-0.0208078335373317,-0.2315112540192926,0.012587412587412588,-0.6611570247933884,-0.002976190476190476,-0.4479297365119197,0.003316749585406302,0.7732426303854876,-0.06532066508313539,0.005420054200542005,-0.22075782537067545,-1.0,-1.0
