,1p_GDC_hg19,1q_GDC_hg19,19p_GDC_hg19,19q_GDC_hg19,1p_GDC_hg38,1q_GDC_hg38,19p_GDC_hg38,19q_GDC_hg38,1p_UCSC_hg19,1q_UCSC_hg19,19p_UCSC_hg19,19q_UCSC_hg19
TCGA-HT-7689,-0.29024583663758924,-0.006902502157031924,0.0,-0.7244401168451802,-0.3682008368200837,-0.016600790513833993,0.0,-0.703953712632594,0.0,0.0,0.0,-0.6909871244635193
TCGA-HT-7690,-0.011895321173671689,-0.01639344262295082,0.0,-0.0009737098344693282,-0.021617852161785217,-0.003952569169960474,0.0,-0.0009643201542912247,0.0,0.0,0.0,0.0
TCGA-HT-7692,-0.9992069785884219,-0.004314063848144953,0.0,-1.0,-0.9965132496513249,-0.0031620553359683794,0.0,-1.0,-1.0,-0.060453400503778336,-0.002967359050445104,-1.0
TCGA-HT-7693,-0.03013481363996828,-0.004314063848144953,0.0,-0.0029211295034079843,-0.01882845188284519,-0.006324110671936759,0.0,-0.0028929604628736743,-0.0015408320493066256,0.0,0.0,0.0
TCGA-HT-7694,-0.9896907216494846,-0.0008628127696289905,0.0,-1.0,-0.9902370990237099,-0.0007905138339920949,0.0,-1.0,-1.0,-0.060453400503778336,-0.002967359050445104,-0.9774678111587983
TCGA-HT-7695,-1.0,-0.021570319240724764,0.0,-1.0,-1.0,-0.011857707509881422,0.0,-1.0,-0.99768875192604,0.0,-0.002967359050445104,-0.9989270386266095
TCGA-HT-7854,-0.004758128469468675,0.0,0.0,-0.0009737098344693282,-0.0020920502092050207,0.0,0.0,-0.0009643201542912247,0.0,0.0,0.0,0.0
TCGA-HT-7855,-0.2212529738302934,0.0,0.0,0.0,-0.1910739191073919,-0.011067193675889328,0.0,0.0,-0.06394453004622497,0.0,0.0,-0.001072961373390558
TCGA-HT-7856,-0.985725614591594,-0.01725625539257981,0.0,-1.0,-0.9818688981868898,-0.0023715415019762848,-0.012622720897615708,-1.0,-0.99768875192604,0.0,-0.002967359050445104,-0.9989270386266095
TCGA-HT-7858,-0.0055511498810467885,-0.003451251078515962,0.0,0.0,-0.012552301255230125,-0.010276679841897233,0.0,0.0,0.0,0.0,0.0,0.0
TCGA-HT-7860,-0.126883425852498,-0.001725625539257981,0.0,-0.014605647517039922,-0.12273361227336123,-0.0023715415019762848,0.0,-0.011571841851494697,-0.14098613251155623,0.0,0.0,0.0
TCGA-HT-7873,-0.0007930214115781126,0.0,-0.5791788856304986,-0.0009737098344693282,-0.0020920502092050207,0.0,-0.5792426367461431,-0.0009643201542912247,0.0,0.0,-0.5845697329376854,0.0
TCGA-HT-7874,-0.9904837430610627,-0.01984469370146678,0.0,-1.0,-0.9867503486750349,-0.011857707509881422,0.0,-1.0,-1.0,-0.060453400503778336,-0.002967359050445104,-0.9989270386266095
TCGA-HT-7875,-0.992862807295797,-0.022433132010353754,0.0,-1.0,-0.9874476987447699,-0.005533596837944664,0.0,-1.0,-0.99768875192604,0.0,-0.002967359050445104,-0.9989270386266095
TCGA-HT-7877,-0.992862807295797,-0.1363244176013805,0.0,-1.0,-0.9867503486750349,-0.0007905138339920949,0.0,-0.9932497589199615,-0.99768875192604,0.0,-0.002967359050445104,-0.9989270386266095
TCGA-HT-7879,-0.007137192704203013,-0.0025884383088869713,0.0,-0.0019474196689386564,-0.009762900976290097,-0.0023715415019762848,0.0,-0.0019286403085824494,-0.0007704160246533128,0.0,0.0,0.0
TCGA-HT-7880,-0.007137192704203013,-0.001725625539257981,0.0,0.0,-0.011854951185495118,-0.0023715415019762848,0.0,0.0,-0.0007704160246533128,0.0,0.0,0.0
TCGA-HT-7881,-0.9896907216494846,-0.024158757549611734,0.0,-1.0,-0.9853556485355649,-0.007905138339920948,0.0,-1.0,-1.0,-0.060453400503778336,-0.002967359050445104,-0.9989270386266095
TCGA-HT-7882,-0.12846946867565423,-0.005176876617773943,0.0,-0.0029211295034079843,-0.038354253835425386,-0.005533596837944664,0.0,-0.0028929604628736743,0.0,0.0,0.0,0.0
TCGA-HT-7884,-0.007930214115781126,-0.0025884383088869713,0.0,-0.004868549172346641,-0.01394700139470014,-0.0023715415019762848,0.0,-0.0048216007714561235,0.0,0.0,0.0,-0.001072961373390558
TCGA-HT-7902,-0.007930214115781126,-0.009490940465918895,-0.01466275659824047,-0.6728334956183057,-0.01603905160390516,-0.009486166007905139,-0.001402524544179523,-0.6489874638379942,0.0,0.0,0.0,0.0
TCGA-HT-8010,-1.0,-0.01639344262295082,0.0,-0.9737098344693281,-1.0,0.0,0.0,-0.970106075216972,-1.0,-0.060453400503778336,-0.002967359050445104,-0.9667381974248928
TCGA-HT-8011,-0.004758128469468675,-0.001725625539257981,0.0,0.0,-0.007670850767085077,-0.0015810276679841897,0.0,0.0,0.0,0.0,0.0,0.0
TCGA-HT-8012,-0.9984139571768438,-0.04659188955996549,0.0,-1.0,-0.999302649930265,-0.014229249011857707,0.0,-1.0,-1.0,-0.060453400503778336,-0.002967359050445104,-0.9989270386266095
TCGA-HT-8013,-0.003965107057890563,-0.001725625539257981,0.0,0.0,-0.012552301255230125,-0.0023715415019762848,0.0,0.0,0.0,0.0,0.0,0.0
TCGA-HT-8018,-0.0007930214115781126,-0.008628127696289905,0.0,-0.7020447906523856,-0.0041841004184100415,-0.01818181818181818,0.0,-1.0,0.0,0.0,0.0,0.0
TCGA-HT-8104,-0.012688342585249802,-0.2200172562553926,0.0,0.0,-0.010460251046025104,-0.24031620553359684,0.0,0.0,-0.009244992295839754,-0.2409739714525609,0.0,0.0
TCGA-HT-8105,-1.0,-0.0008628127696289905,0.0,-1.0,-1.0,-0.0007905138339920949,0.0,-1.0,-0.99768875192604,0.0,-0.002967359050445104,-0.9989270386266095
