,7_TCGA_hg19,10_TCGA_hg19,EGFR_hg19,7_TCGA_hg38,10_TCGA_hg38,EGFR_hg38,7_UCSC_hg19,10_UCSC_hg19,EGFR_ucsc
TCGA-19-5959,0.9324090121317158,-1.0,2.0,0.9399844115354637,-1.0,2.0,0.9373390557939915,-1.0,2.0
TCGA-19-5960,0.9948006932409013,-1.0,1.0,0.9992205767731879,-1.0,1.0,0.9982832618025751,-1.0,1.0
TCGA-19-A60I,0.9939341421143848,-0.9788806758183738,2.0,0.9945440374123149,-0.9860594795539034,2.0,0.9957081545064378,-0.9929078014184397,2.0
TCGA-19-A6J4,0.9956672443674177,-0.9989440337909187,1.0,0.9976617303195635,-0.9907063197026023,1.0,1.0,-1.0,1.0
TCGA-19-A6J5,0.9722703639514731,-0.9989440337909187,1.0,0.9758378799688231,-0.9990706319702602,1.0,0.975107296137339,-1.0,1.0
TCGA-26-1439,0.9956672443674177,-0.9989440337909187,2.0,0.9992205767731879,-0.9990706319702602,2.0,0.9982832618025751,-1.0,2.0
TCGA-26-1442,0.4748700173310225,-0.03695881731784583,0.0,0.48558067030397506,-0.03531598513011153,0.0,0.632618025751073,0.0,0.0
TCGA-26-5132,0.9948006932409013,-0.9989440337909187,2.0,1.0,-0.9990706319702602,2.0,0.9991416309012876,-0.9989868287740629,2.0
TCGA-26-5133,0.014731369150779897,-0.9672650475184794,0.0,0.042088854247856584,-0.9702602230483272,0.0,0.008583690987124463,-0.9706180344478217,0.0
TCGA-26-5134,0.00779896013864818,-1.0,0.0,0.011691348402182385,-1.0,2.0,0.0,-1.0,0.0
TCGA-26-5135,0.9922010398613518,-1.0,1.0,0.9922057677318784,-1.0,1.0,0.9991416309012876,-1.0,1.0
TCGA-26-5136,0.9948006932409013,-0.996832101372756,1.0,1.0,-0.9869888475836431,1.0,0.9974248927038627,-1.0,1.0
TCGA-26-5139,0.9731369150779896,-0.9989440337909187,2.0,0.9758378799688231,-1.0,2.0,0.9811158798283262,-1.0,2.0
TCGA-26-6173,0.9982668977469671,-0.8616684266103485,2.0,0.9984411535463756,-0.8392193308550185,2.0,0.9991416309012876,-0.8439716312056738,2.0
TCGA-26-6174,1.0,-0.9947201689545935,1.0,1.0,-0.9925650557620818,1.0,0.9991416309012876,-1.0,1.0
TCGA-26-A7UX,0.9376083188908145,-1.0,2.0,0.9298519095869057,-1.0,2.0,0.9150214592274678,-1.0,2.0
