,umap1,umap2
TCGA-HT-8013,0.15254033,14.3080845
TCGA-HT-8018,0.92197347,12.1329775
TCGA-HT-8104,8.155072,9.541589
TCGA-HT-8105,-0.87189144,8.108234
TCGA-HT-8106,0.7801029,12.4089155
TCGA-HT-8108,0.47919425,12.422174
TCGA-HT-8109,-1.9364806,7.0377946
TCGA-HT-8110,4.5015397,12.126584
TCGA-HT-8111,-0.85849035,13.633945
TCGA-HT-8114,-0.5579033,13.285334
TCGA-HT-8563,-0.22378759,12.022133
TCGA-HT-8564,5.547709,11.959221
TCGA-HT-A4DS,6.2397065,11.295544
TCGA-HT-A4DV,-3.4209952,7.603685
TCGA-HT-A5R5,0.33667374,14.257429
TCGA-HT-A5R7,1.1476098,12.356569
TCGA-HT-A5R9,-0.6936573,7.8901844
TCGA-HT-A5RA,8.259669,11.77607
TCGA-HT-A5RB,-0.96030754,12.6023035
TCGA-HT-A5RC,6.546505,9.620922
TCGA-HT-A614,0.49719498,12.675554
TCGA-HT-A615,-3.4119787,7.4617443
TCGA-HT-A616,-0.06772923,13.751805
TCGA-HT-A617,5.0866137,11.547197
TCGA-HT-A618,1.1746457,12.220159
TCGA-HT-A619,-0.83516806,7.5227895
TCGA-HT-A61B,0.5017039,11.297942
TCGA-HT-A61C,4.483727,12.408366
TCGA-HT-A74H,5.638666,9.920861
TCGA-HT-A74J,0.26848724,14.317124
TCGA-HT-A74K,-1.468602,7.088023
TCGA-HT-A74L,-2.8451004,7.380914
TCGA-HT-A74O,-0.20467307,13.677599
TCGA-HW-7486,-3.4238193,7.502789
TCGA-HW-7487,-0.760508,8.033756
TCGA-HW-7489,-0.66655666,12.979548
TCGA-HW-7490,0.06793192,13.085747
TCGA-HW-7491,-0.9216586,8.332599
TCGA-HW-7495,-2.8855581,6.9767103
TCGA-HW-8319,0.23026463,13.08183
TCGA-HW-8320,-0.41759843,12.972545
TCGA-HW-8321,-0.57304496,13.016273
TCGA-HW-8322,-3.255699,6.697287
TCGA-HW-A5KJ,-2.738357,6.99771
TCGA-HW-A5KK,4.7150035,10.80577
TCGA-HW-A5KL,-0.21339202,12.972351
TCGA-HW-A5KM,-0.5076285,13.303564
TCGA-IK-7675,0.7817796,12.697907
TCGA-IK-8125,-1.0852877,7.9819007
TCGA-KT-A74X,-1.6488862,8.381955
TCGA-KT-A7W1,8.08107,11.720612
TCGA-OX-A56R,5.0603027,11.399873
TCGA-P5-A5ET,-3.644994,6.904903
TCGA-P5-A5EU,-0.71367514,11.624753
TCGA-P5-A5EV,-0.62055796,11.901357
TCGA-P5-A5EW,0.36733162,11.994604
TCGA-P5-A5EX,-3.0858724,7.4909306
